subject,body,label
Free iPhone offer!,Click here to win a free iPhone,spam
Your invoice is attached,Please verify your latest payment invoice,not spam
Get rich fast,Join our investment club and double your money in 10 days!,spam
Meeting Reminder,Don't forget our meeting at 2pm,not spam
Exclusive deal,Act now to receive 70% off on your next purchase,spam
Security alert,There was a login attempt from a new device,not spam
Win a trip,Enter now to win a 7-day Caribbean cruise!,spam
Weekly update,Here is your project summary for this week,not spam
Limited offer,Claim your Amazon voucher before it expires!,spam
Lunch tomorrow?,Do you want to grab lunch at noon?,not spam
Lose weight fast,Try our new diet pill for rapid weight loss,spam
Monthly newsletter,Check out our latest articles and updates,not spam
Click to confirm,Your account will be suspended unless confirmed,spam
Reunion next month,Let me know if you’ll join the reunion,not spam
You've won!,Congratulations! You are the lucky winner of $500,spam
Budget approval,The Q3 budget needs your review,not spam
No prescription needed,Buy medications online without a doctor,spam
Event tickets,Your tickets to the conference are attached,not spam
Cheap loans,Apply now for low-interest rates and instant approval,spam
Job application,Thanks for your interest in the position,not spam
